,Model,M,Train Z,Adam learning rate,minibatch size,iterations,likelihood,time logs,ELBO logs,accuracy logs,initial hyperparams,final hyperparams,GPflow model object
0,SGPR,500,True,0.01,,200,Gaussian,"[9.926735162734985, 19.151655197143555, 27.734471082687378, 36.16499590873718, 45.15992999076843, 53.6850848197937, 62.645341634750366, 71.3105034828186, 80.09886050224304, 88.93125343322754, 97.81416440010071, 106.43094253540039, 115.28373169898987, 124.21502947807312, 132.77072143554688, 141.55017161369324, 150.84669661521912, 159.35983276367188, 168.04113173484802, 176.7287199497223, 185.47000980377197, 194.3877716064453, 202.85032272338867, 211.8165638446808, 221.17240977287292, 229.67948079109192, 238.3893494606018, 247.21166062355042, 256.4471607208252, 265.09419989585876, 274.48411870002747, 282.941059589386, 291.7728626728058, 300.558495759964, 309.21788573265076, 317.90234184265137, 326.9507210254669, 335.46849727630615, 344.32886505126953, 353.0980432033539, 361.80440735816956, 370.59474325180054, 379.2700312137604, 388.3627049922943, 397.8567361831665, 406.3661460876465, 415.3062300682068, 423.7843687534332, 432.44483375549316, 441.1017737388611, 449.9334366321564, 458.48441338539124, 467.16194224357605, 475.91346430778503, 484.51691460609436, 493.203884601593, 504.0909276008606, 512.8722774982452, 521.46639752388, 530.2220056056976, 538.7578165531158, 547.3989775180817, 556.0465717315674, 565.4552888870239, 574.1202929019928, 582.9018158912659, 591.5195517539978, 600.0397505760193, 608.7982625961304, 617.5966866016388, 626.2349836826324, 634.9078855514526, 643.351345539093, 651.9566214084625, 660.8536262512207, 669.4250812530518, 678.9058272838593, 687.9424073696136, 696.5511772632599, 705.142585515976, 713.5637767314911, 722.1793427467346, 731.2242414951324, 739.9680263996124, 748.7661941051483, 757.1470589637756, 765.8061032295227, 774.3403899669647, 782.904058933258, 791.562087059021, 800.500953912735, 809.2074928283691, 817.8669095039368, 826.4619326591492, 835.1043787002563, 843.8786284923553, 852.7037305831909, 861.069554567337, 869.8518974781036, 878.5436563491821, 887.1219832897186, 895.7637794017792, 904.2782514095306, 914.0242984294891, 922.5325422286987, 930.9732301235199, 939.5979719161987, 948.0909838676453, 956.860424041748, 965.3705489635468, 973.8370580673218, 982.4436039924622, 991.0289418697357, 999.6134786605835, 1008.337192773819, 1016.8782255649567, 1025.6683385372162, 1034.2192237377167, 1042.8295755386353, 1051.6362977027893, 1060.1847648620605, 1068.697804927826, 1077.421127796173, 1085.9093289375305, 1094.5629079341888, 1103.3079235553741, 1111.7846865653992, 1120.2956504821777, 1129.0653042793274, 1137.4879221916199, 1146.198063135147, 1154.6515052318573, 1163.1870090961456, 1171.9066760540009, 1181.6601960659027, 1190.125487089157, 1198.902261018753, 1207.2879481315613, 1215.758376121521, 1224.5791540145874, 1233.4602398872375, 1242.2000148296356, 1250.6998817920685, 1260.2287538051605, 1268.7276306152344, 1277.460500717163, 1285.959145784378, 1294.676570892334, 1303.189151763916, 1311.798440694809, 1320.5907785892487, 1329.090521812439, 1338.0849678516388, 1346.5671048164368, 1355.387416601181, 1363.923015832901, 1372.6145408153534, 1381.256199836731, 1389.8925890922546, 1398.6156141757965, 1407.63148021698, 1416.4052731990814, 1424.8724610805511, 1433.7467832565308, 1442.3038885593414, 1450.751054763794, 1459.2828285694122, 1467.8640975952148, 1478.21293258667, 1487.1766216754913, 1495.8647084236145, 1504.5528013706207, 1513.001139640808, 1521.4058487415314, 1530.186556816101, 1538.5991895198822, 1547.4373185634613, 1556.4502584934235, 1566.6526823043823, 1576.617704153061, 1585.0954341888428, 1593.7753071784973, 1602.437991142273, 1611.9041583538055, 1620.3415234088898, 1628.7298443317413, 1637.2925233840942, 1646.1544506549835, 1655.1072278022766, 1664.3938179016113, 1673.331869840622, 1682.1317019462585, 1690.6918151378632, 1699.1615903377533, 1707.9054205417633, 1716.5353455543518, 1725.610009431839, 1734.1037724018097, 1742.768667459488, 1751.6087334156036]","[-587968.3501891851, -585251.8713031668, -582727.6171697048, -580300.8405175738, -577923.7394569645, -575593.8730051751, -573306.8475842647, -571050.6729904672, -568815.2443344132, -566596.042220848, -564390.9323556279, -562197.5067310499, -560013.0656415605, -557835.523404579, -555663.4791692935, -553495.7408212268, -551331.168908085, -549168.7898169486, -547007.862361464, -544847.7623727248, -542687.849232849, -540527.593777087, -538366.629082572, -536204.5605956531, -534041.0048769208, -531875.6877334289, -529708.3057109372, -527538.6060383193, -525366.4125862314, -523191.49330648023, -521013.66480970074, -518832.801855811, -516648.721608938, -514461.25252897403, -512270.29017647664, -510075.7101060879, -507877.39355342474, -505675.24388299877, -503469.17742981797, -501259.09218097816, -499044.8898773071, -496826.4782397372, -494603.78863759263, -492376.74990788504, -490145.3276196673, -487909.4881865302, -485669.3988543091, -483425.15350026934, -481177.0021064151, -478925.40986101655, -476668.9682316059, -474404.69829892245, -472133.54231533635, -469859.3850932626, -467582.1333000604, -465297.58648251346, -463008.6995497152, -460714.7866599196, -458415.36055730894, -456111.4309224838, -453802.12893767835, -451487.688279142, -449168.5324182635, -446844.58479517885, -444515.1350134764, -442178.4735187306, -439835.840114719, -437487.7836228614, -435136.6502268296, -432778.8098462255, -430414.0569198887, -428044.6551027113, -425670.4786103951, -423290.778002429, -420905.8856798094, -418515.25395301695, -416118.7688320495, -413716.2781967547, -411308.20148546115, -408894.2241033245, -406475.09944440064, -404051.69510144216, -401622.2073252313, -399186.72509350046, -396745.87243395887, -394300.0473483224, -391848.80396031076, -389392.2272071187, -386930.51399704465, -384463.2280261749, -381990.5134087213, -379512.107808653, -377028.9580447072, -374541.31196810363, -372047.8191774741, -369547.46641779866, -367041.5929451207, -364532.2818051541, -362018.48433595005, -359499.2122448045, -356974.4321734763, -354444.68131548574, -351910.33335659956, -349371.31634327746, -346827.3219055829, -344278.16657632706, -341724.23580049805, -339165.07836294407, -336601.2120038253, -334033.3015073497, -331461.3791687308, -328884.85129904794, -326303.5966702324, -323718.10531357094, -321128.32422249904, -318533.81978036684, -315934.88435397006, -313331.80094046344, -310724.62399092247, -308113.4807965787, -305498.4089572004, -302878.6654906514, -300254.82324532873, -297627.63853289484, -294996.9523703592, -292361.7361009042, -289722.3281273831, -287079.7553927593, -284434.07135640725, -281784.98604616406, -279132.83283676836, -276477.2683454235, -273817.56888755126, -271154.46907230443, -268488.43290104496, -265818.44189811056, -263144.786211651, -260468.2132467038, -257789.12816078617, -255106.74710645544, -252421.49988937622, -249734.24452092464, -247044.4761646818, -244351.80185734958, -241656.44991529814, -238958.8611609601, -236259.22614877427, -233557.29132853873, -230852.95234879723, -228146.4965127179, -225438.19697179107, -222727.68019683266, -220014.4468799709, -217298.38508026462, -214580.86099667934, -211862.8920971757, -209144.4849269262, -206424.67918386677, -203702.58318442834, -200978.58791022346, -198252.34699100218, -195524.01610903715, -192794.50427014264, -190064.9714749161, -187333.84226997383, -184600.15275055775, -181864.8049577665, -179130.2430152995, -176396.58022978788, -173661.6917481915, -170924.84823186958, -168187.39978544362, -165450.79695287498, -162714.6967224117, -159977.6300685008, -157239.94834964414, -154502.46833714526, -151765.43592738893, -149027.71985286556, -146288.6956166919, -143550.02828826263, -140812.75916297192, -138076.37912423752, -135340.55138501752, -132605.7869759645, -129872.23988462565, -127139.49571318417, -124406.97291442347, -121674.26163567712, -118940.44899362726, -116207.21489128761, -113476.9914024461, -110749.3409375769, -108022.0079036279, -105294.98300177392, -102568.98007155713, -99844.64875284463, -97122.16058285223, -94402.13695466283, -91684.8766203147]","[0.9421, 0.9442, 0.9458, 0.9461, 0.9467, 0.9479, 0.9493, 0.9498, 0.9505, 0.9512, 0.9514, 0.9519, 0.9522, 0.9529, 0.9532, 0.9532, 0.9532, 0.9537, 0.954, 0.9542, 0.9542, 0.9545, 0.9551, 0.9554, 0.9559, 0.9559, 0.956, 0.956, 0.9563, 0.9564, 0.9569, 0.9568, 0.9567, 0.9571, 0.9574, 0.9573, 0.9572, 0.9575, 0.9577, 0.9577, 0.9579, 0.958, 0.9582, 0.9583, 0.9588, 0.9591, 0.9596, 0.9598, 0.9598, 0.9598, 0.9598, 0.96, 0.9596, 0.9602, 0.9602, 0.9597, 0.9602, 0.9604, 0.96, 0.9605, 0.9604, 0.96, 0.9606, 0.9605, 0.96, 0.9606, 0.9607, 0.9605, 0.9606, 0.9607, 0.9605, 0.961, 0.9609, 0.961, 0.9611, 0.9611, 0.961, 0.9611, 0.9607, 0.9611, 0.9613, 0.9609, 0.9612, 0.9612, 0.9611, 0.961, 0.961, 0.9612, 0.9615, 0.9614, 0.9616, 0.9616, 0.9616, 0.961, 0.962, 0.9611, 0.9614, 0.9619, 0.9613, 0.9621, 0.9615, 0.9618, 0.9617, 0.9618, 0.9617, 0.9614, 0.9618, 0.9616, 0.9616, 0.9619, 0.9618, 0.9616, 0.962, 0.9618, 0.9616, 0.9618, 0.9619, 0.9617, 0.9619, 0.9616, 0.9621, 0.962, 0.9619, 0.9621, 0.962, 0.9622, 0.9622, 0.9622, 0.9625, 0.962, 0.9625, 0.9617, 0.9625, 0.9619, 0.9627, 0.962, 0.9624, 0.9622, 0.9619, 0.9627, 0.9623, 0.9622, 0.9627, 0.9621, 0.9627, 0.9623, 0.9624, 0.9628, 0.9622, 0.9625, 0.9624, 0.9622, 0.9623, 0.9624, 0.9628, 0.9626, 0.9623, 0.9624, 0.9627, 0.9621, 0.9628, 0.9619, 0.9628, 0.9621, 0.9628, 0.9628, 0.9622, 0.9626, 0.9626, 0.9626, 0.9628, 0.9627, 0.9629, 0.9622, 0.9628, 0.9625, 0.9629, 0.9627, 0.9629, 0.9627, 0.9628, 0.9629, 0.9627, 0.9629, 0.9627, 0.9631, 0.963, 0.963, 0.9628, 0.963, 0.9628, 0.963, 0.9632, 0.9626, 0.9633, 0.9627, 0.9633, 0.9629, 0.9629, 0.963]","{'kernel variance': 1, 'kernel lengthscale': 10, 'initial noise variance': 1, 'initial inducing locations': 'Random'}","{'kernel variance': array(0.24304043), 'kernel lengthscale': array(11.6220119), 'likelihood variance': array(0.18254533), 'inducing locations': array([[0., 0., 0., ..., 0., 0., 0.],
       [0., 0., 0., ..., 0., 0., 0.],
       [0., 0., 0., ..., 0., 0., 0.],
       ...,
       [0., 0., 0., ..., 0., 0., 0.],
       [0., 0., 0., ..., 0., 0., 0.],
       [0., 0., 0., ..., 0., 0., 0.]])}",<gpflow.models.sgpr.SGPR object at 0x7faf1d71ebe0>
0,SGPR,100,True,0.1,,200,Gaussian,"[2.285945177078247, 4.334147214889526, 6.39005446434021, 8.6194486618042, 11.032683849334717, 13.176459789276123, 15.368076801300049, 17.608900547027588, 20.020095825195312, 22.58955979347229, 24.92649555206299, 27.326598405838013, 30.107666492462158, 33.23437857627869, 35.77128458023071, 38.09009671211243, 40.23915696144104, 42.451225996017456, 44.68897080421448, 46.86890459060669, 49.078195571899414, 51.368271589279175, 53.539607524871826, 55.73379349708557, 58.05651259422302, 60.230403661727905, 62.44705677032471, 64.6623694896698, 66.8627724647522, 69.00630164146423, 71.23326468467712, 73.50797748565674, 75.79026246070862, 78.07199454307556, 80.55194854736328, 82.76578664779663, 84.94134449958801, 87.12901639938354, 89.29470825195312, 91.50672030448914, 94.0344512462616, 96.48118424415588, 98.76344919204712, 101.09806537628174, 103.33961248397827, 105.48922562599182, 107.69153070449829, 109.88410449028015, 112.09351968765259, 114.40403079986572, 116.7088897228241, 119.00170969963074, 121.23044776916504, 123.43657279014587, 125.6137547492981, 127.79594087600708, 129.96465492248535, 132.36592173576355, 134.60899758338928, 136.92586469650269, 139.19331169128418, 141.47790455818176, 143.6681797504425, 145.7886507511139, 147.99102973937988, 150.30244898796082, 152.52470517158508, 154.76716232299805, 156.96325945854187, 159.1312084197998, 161.28702640533447, 163.5623755455017, 165.83194279670715, 168.06746292114258, 170.50405287742615, 172.75144600868225, 175.05944275856018, 177.2785336971283, 179.53994059562683, 181.75708270072937, 184.00617361068726, 186.28688168525696, 188.5840139389038, 190.8685278892517, 193.49555087089539, 195.75396370887756, 198.00944757461548, 200.34920358657837, 202.69191575050354, 204.97660875320435, 207.72293996810913, 210.0712947845459, 212.34487462043762, 214.649888753891, 217.02635669708252, 219.28811287879944, 221.4980227947235, 223.67237186431885, 225.84570479393005, 228.0851695537567, 230.35352849960327, 232.62053442001343, 234.88947129249573, 237.14543414115906, 239.38729119300842, 241.64184522628784, 243.90250420570374, 246.23580622673035, 248.49307322502136, 250.8573350906372, 253.41252493858337, 255.767591714859, 258.00172090530396, 260.20573592185974, 262.3844199180603, 264.829048871994, 267.0954988002777, 269.40408277511597, 271.7563157081604, 274.07437777519226, 276.4294755458832, 278.87789249420166, 281.3164484500885, 283.6254343986511, 285.90561151504517, 288.1210706233978, 290.3844907283783, 292.63569951057434, 294.90273451805115, 297.2211413383484, 299.4783184528351, 301.88791131973267, 304.1337432861328, 306.3783302307129, 308.5890049934387, 310.82799887657166, 313.0955219268799, 315.4489777088165, 317.78746461868286, 320.2413067817688, 322.6447296142578, 324.8710267543793, 327.0911407470703, 329.3303098678589, 331.5457057952881, 333.7892656326294, 336.08886456489563, 338.35268568992615, 340.6288945674896, 342.9347405433655, 345.18531346321106, 347.40368151664734, 349.56604838371277, 351.8140432834625, 354.0795304775238, 356.38116359710693, 358.70715260505676, 360.929892539978, 363.15850377082825, 365.3918526172638, 367.7050895690918, 370.03530263900757, 372.406222820282, 374.679958820343, 376.9047067165375, 379.29523253440857, 381.50963139533997, 383.81517219543457, 386.31991600990295, 388.6297399997711, 390.96075892448425, 393.17606496810913, 395.4938168525696, 397.6968951225281, 399.9435029029846, 402.18222188949585, 404.4499480724335, 406.6959083080292, 409.0101754665375, 411.25800824165344, 413.44408917427063, 415.6336352825165, 417.9433364868164, 420.21415090560913, 422.4723379611969, 424.7280876636505, 426.9673056602478, 429.2172839641571, 431.51134610176086, 433.8172199726105, 436.1025140285492, 438.39322209358215, 440.89514899253845, 443.2075078487396, 445.5312418937683, 447.7681300640106, 449.9411962032318, 452.1979842185974, 454.45461916923523, 456.73703694343567]","[-594595.15970796, -569324.8119988983, -547014.8248449332, -525326.9164633896, -503032.78143555386, -480352.11562025483, -457444.10997205664, -434244.4066400182, -410634.897546328, -386529.94334091665, -362073.07861187373, -337384.5413365628, -312557.2584266129, -287608.34493796946, -262337.21390028484, -236968.62042847992, -211422.83159029565, -185720.1077873003, -160272.30713725812, -134519.8369980218, -109215.3543303584, -83644.26810185262, -58844.69078071066, -33838.10158799277, -9633.14443870951, 14532.457919700217, 38017.68677487015, 60761.59411144233, 82962.87273870013, 103906.07249756652, 124357.02875227394, 143472.7105551607, 161775.89644567925, 177725.99961606332, 193986.7226912359, 207960.11633331294, 220108.64806999546, 230377.88177454204, 239920.16411082586, 248220.45136054885, 253662.41575354722, 258121.74839214922, 261835.96901817142, 263862.6972338507, 265230.38570886, 265280.9603930382, 265654.7363237437, 264438.80090839823, 264459.4987308647, 263843.10585378425, 263400.4696608748, 263531.5585965108, 263984.82765532227, 264566.6167525187, 265525.5893677323, 266908.32056128734, 268223.07672152587, 269873.22105361277, 271498.1734871591, 273152.8057522186, 274764.3811153156, 276226.1598947529, 277678.57906390063, 278784.7999327363, 279877.4173156497, 280741.51585441467, 281478.11587056925, 281936.45122684573, 282204.551426815, 282175.6602192471, 281814.1287957685, 281763.0103456761, 282356.4482274087, 283489.55285534554, 284039.08258008014, 284528.7510268743, 285047.16807913256, 285419.4286441078, 285940.411785056, 286253.320075987, 286351.80019172153, 286073.1761964584, 285571.92884325434, 286607.35962267464, 287423.9999338408, 288116.99034911825, 288831.6820375776, 289473.3060573562, 289763.70619304536, 290405.70317491365, 290984.5663352519, 291114.77563368727, 291299.0460267471, 291612.12679188803, 292213.0917884748, 292593.62757153704, 293005.47521492967, 293788.23592248943, 294079.2738879508, 294421.2494857387, 295325.60886549705, 296042.19396305026, 296455.8301276328, 297070.991587384, 297452.46453199873, 297825.15010793216, 298121.16223946994, 298340.34197793284, 298949.19063403213, 299728.47236691567, 300111.90287941706, 300571.28828288836, 300843.72496648843, 301023.4950263045, 301668.238829011, 302311.36431559885, 302826.2777800128, 303320.12183801003, 303910.5832217395, 304548.5296389336, 305029.4939386622, 305549.89304306277, 306035.293474367, 306512.46427942754, 307057.7428060727, 307519.1345886985, 307996.20263283944, 308467.0456390438, 308900.5948396743, 309316.97954932007, 309602.448703427, 309986.64739234874, 310362.2313854579, 310915.7333854438, 311288.5004587133, 311098.66111349186, 311383.7358754516, 312654.9183953485, 313122.1680796138, 313602.27912916814, 314002.7504881293, 314546.4087591936, 314936.7655446894, 315390.95173943194, 315806.7313241168, 316226.64031184453, 316656.5377417576, 317047.7579944938, 317425.03948239575, 317794.60310314794, 318140.4396178172, 318454.7064372619, 318705.32522562577, 318683.7423252653, 317921.65794058924, 316061.04817615205, 318582.56796131853, 318910.2608468485, 319125.60080968856, 319151.30693603854, 319121.9249575663, 319313.8702430056, 319551.08299794316, 319927.209761873, 320139.88508099935, 320322.30564529134, 320524.59640722943, 320816.5097092617, 321039.94610028306, 321274.52278186695, 321431.73882845824, 321583.4370591504, 321704.58925937803, 321848.90794922865, 321982.7326220387, 322059.0935066197, 321966.8142477082, 321213.82402487856, 318341.1651717798, 318210.62219427584, 318767.46025400155, 320071.47480923345, 319941.56421273074, 320174.77238133445, 320272.1131183031, 320445.9994791212, 320691.12666321767, 320823.08324488683, 321087.11676421005, 321322.9194687753, 321675.6210865142, 321865.7385408714, 322121.1426106134, 322351.0411650586, 322456.0642018231, 322679.0879723934, 322797.25636945, 322873.53825441387, 322952.7787880226, 322902.87899972487]","[0.892, 0.902, 0.9085, 0.9143, 0.9159, 0.9204, 0.9222, 0.9246, 0.9283, 0.9272, 0.9299, 0.931, 0.9319, 0.9322, 0.9333, 0.9331, 0.9353, 0.938, 0.9367, 0.9367, 0.9372, 0.9371, 0.9382, 0.9385, 0.9386, 0.9402, 0.9389, 0.94, 0.9393, 0.9395, 0.9426, 0.9417, 0.9424, 0.9419, 0.9437, 0.9448, 0.9444, 0.9433, 0.9458, 0.946, 0.9461, 0.9471, 0.9471, 0.948, 0.9481, 0.9496, 0.9491, 0.9494, 0.9503, 0.951, 0.9509, 0.9525, 0.9521, 0.9529, 0.9537, 0.9531, 0.9535, 0.9539, 0.9538, 0.9546, 0.9548, 0.9551, 0.9541, 0.9546, 0.9557, 0.9551, 0.9557, 0.9553, 0.9552, 0.9555, 0.9553, 0.9554, 0.955, 0.9557, 0.9553, 0.9564, 0.9558, 0.9556, 0.9559, 0.9553, 0.9563, 0.9553, 0.9559, 0.957, 0.9558, 0.9557, 0.9563, 0.9559, 0.9561, 0.9568, 0.9567, 0.9555, 0.9562, 0.9574, 0.9565, 0.9556, 0.9573, 0.9566, 0.9566, 0.9569, 0.9577, 0.9576, 0.9575, 0.9577, 0.9587, 0.9573, 0.9583, 0.9578, 0.9583, 0.9584, 0.9581, 0.9584, 0.9585, 0.9582, 0.9579, 0.9586, 0.9582, 0.9586, 0.9589, 0.9589, 0.9595, 0.9589, 0.9591, 0.96, 0.9591, 0.9598, 0.9599, 0.9595, 0.9598, 0.9601, 0.9597, 0.9605, 0.9604, 0.9598, 0.9601, 0.9599, 0.9601, 0.9608, 0.9596, 0.9607, 0.9609, 0.9605, 0.9609, 0.9608, 0.9613, 0.9615, 0.9614, 0.9613, 0.9616, 0.9617, 0.9619, 0.9615, 0.9621, 0.9616, 0.9625, 0.9617, 0.9616, 0.9618, 0.9622, 0.9622, 0.9625, 0.9624, 0.9625, 0.963, 0.9626, 0.963, 0.9633, 0.9632, 0.963, 0.9634, 0.964, 0.9637, 0.9638, 0.964, 0.9641, 0.964, 0.9643, 0.9642, 0.9634, 0.9631, 0.9621, 0.9637, 0.9632, 0.9639, 0.9637, 0.9635, 0.9627, 0.9635, 0.9642, 0.964, 0.9637, 0.9642, 0.9638, 0.9639, 0.9644, 0.964, 0.9645, 0.9644, 0.9644, 0.9637]","{'kernel variance': 1, 'kernel lengthscale': 10, 'initial noise variance': 1, 'initial inducing locations': 'Random'}","{'kernel variance': array(0.00648719), 'kernel lengthscale': array(5.46102092), 'likelihood variance': array(0.01676705), 'inducing locations': array([[0., 0., 0., ..., 0., 0., 0.],
       [0., 0., 0., ..., 0., 0., 0.],
       [0., 0., 0., ..., 0., 0., 0.],
       ...,
       [0., 0., 0., ..., 0., 0., 0.],
       [0., 0., 0., ..., 0., 0., 0.],
       [0., 0., 0., ..., 0., 0., 0.]])}",<gpflow.models.sgpr.SGPR object at 0x7fac0f264f40>
